epoch,BoxAP,PoseAP
319,0.659,0.441
320,0.659,0.441
321,0.658,0.441
322,0.658,0.441
323,0.658,0.441
324,0.659,0.442
325,0.658,0.442
326,0.658,0.442
327,0.658,0.442
328,0.658,0.442
329,0.658,0.442
330,0.658,0.442
331,0.658,0.442
332,0.659,0.442
333,0.658,0.442
334,0.658,0.443
335,0.658,0.442
336,0.658,0.443
337,0.658,0.443
338,0.659,0.443
339,0.659,0.443
340,0.659,0.442
341,0.659,0.443
342,0.659,0.442
343,0.659,0.442
344,0.659,0.442
345,0.659,0.442
346,0.659,0.443
347,0.659,0.442
348,0.659,0.442
349,0.660,0.443
350,0.660,0.443
351,0.660,0.444
352,0.660,0.444
353,0.660,0.443
354,0.660,0.444
355,0.660,0.444
356,0.660,0.444
357,0.660,0.444
358,0.659,0.444
359,0.660,0.444
360,0.660,0.444
361,0.660,0.444
362,0.660,0.444
363,0.660,0.444
364,0.660,0.445
365,0.660,0.444
366,0.660,0.445
367,0.660,0.445
368,0.660,0.444
369,0.660,0.444
370,0.660,0.445
371,0.660,0.445
372,0.661,0.445
373,0.661,0.445
374,0.661,0.445
375,0.661,0.445
376,0.661,0.445
377,0.661,0.446
378,0.661,0.445
379,0.662,0.445
380,0.661,0.446
381,0.662,0.446
382,0.662,0.446
383,0.662,0.446
384,0.662,0.446
385,0.662,0.446
386,0.662,0.446
387,0.662,0.447
388,0.662,0.447
389,0.662,0.446
390,0.662,0.447
391,0.663,0.447
392,0.663,0.447
393,0.663,0.447
394,0.663,0.447
395,0.663,0.446
396,0.663,0.446
397,0.662,0.447
398,0.662,0.447
399,0.662,0.447
400,0.663,0.447
401,0.663,0.448
402,0.663,0.448
403,0.663,0.448
404,0.662,0.447
405,0.663,0.448
406,0.663,0.448
407,0.663,0.448
408,0.663,0.448
409,0.663,0.448
410,0.663,0.448
411,0.663,0.449
412,0.663,0.449
413,0.663,0.449
414,0.663,0.449
415,0.663,0.450
416,0.663,0.450
417,0.663,0.450
418,0.663,0.450
419,0.663,0.450
420,0.663,0.450
421,0.663,0.450
422,0.663,0.450
423,0.663,0.450
424,0.664,0.450
425,0.663,0.450
426,0.663,0.450
427,0.663,0.449
428,0.663,0.450
429,0.663,0.451
430,0.664,0.451
431,0.663,0.451
432,0.664,0.452
433,0.664,0.452
434,0.663,0.452
435,0.664,0.452
436,0.664,0.452
437,0.664,0.453
438,0.664,0.452
439,0.665,0.452
440,0.664,0.452
441,0.664,0.452
442,0.664,0.452
443,0.664,0.452
444,0.664,0.452
445,0.664,0.452
446,0.664,0.452
447,0.664,0.452
448,0.664,0.452
449,0.664,0.451
450,0.664,0.451
451,0.664,0.451
452,0.665,0.451
453,0.665,0.451
454,0.665,0.452
455,0.665,0.452
456,0.665,0.452
457,0.665,0.452
458,0.665,0.452
459,0.665,0.453
460,0.665,0.452
461,0.666,0.453
462,0.666,0.453
463,0.665,0.453
464,0.666,0.453
465,0.666,0.453
466,0.666,0.453
467,0.666,0.453
468,0.666,0.453
469,0.666,0.453
470,0.666,0.454
471,0.666,0.454
472,0.666,0.454
473,0.666,0.454
474,0.666,0.454
475,0.666,0.455
476,0.667,0.454
477,0.667,0.455
478,0.667,0.455
479,0.667,0.454
480,0.667,0.454
481,0.667,0.455
482,0.667,0.455
483,0.667,0.455
484,0.666,0.455
485,0.666,0.456
486,0.667,0.455
487,0.667,0.456
488,0.666,0.456
489,0.667,0.456
490,0.666,0.456
491,0.667,0.456
492,0.667,0.456
493,0.667,0.456
494,0.667,0.457
495,0.667,0.456
496,0.666,0.456
497,0.666,0.457
498,0.666,0.457
499,0.666,0.456
500,0.667,0.456
501,0.667,0.456
502,0.667,0.457
503,0.668,0.457
504,0.668,0.457
505,0.667,0.457
506,0.667,0.458
507,0.667,0.458
508,0.668,0.458
509,0.668,0.458
510,0.668,0.458
511,0.668,0.458
512,0.668,0.458
513,0.668,0.458
514,0.668,0.458
515,0.668,0.458
516,0.668,0.458
517,0.669,0.458
518,0.668,0.458
519,0.668,0.459
